nodes,trial,v0_throughput,v0_mem_usage,v0_warm_time,v0_train_hit,v0_train_pkg_hit,v0_test_hit,v0_test_pkg_hit,v1_throughput,v1_mem_usage,v1_warm_time,v1_train_hit,v1_train_pkg_hit,v1_test_hit,v1_test_pkg_hit,v2_throughput,v2_mem_usage,v2_warm_time,v2_train_hit,v2_train_pkg_hit,v2_test_hit,v2_test_pkg_hit,v3_throughput,v3_mem_usage,v3_warm_time,v3_train_hit,v3_train_pkg_hit,v3_test_hit,v3_test_pkg_hit
320.0,2,76.871,1888308.0,1616.114,0.97159,0.63289,0.93984,0.62317,60.276,2462456.0,1856.802,0.83636,0.41146,0.83995,0.39717,153.258,4477736.0,5619.401,0.97955,0.98495,0.93757,0.93287,165.421,4415628.0,5419.023,0.90909,0.93166,0.89444,0.87491
480.0,2,81.809,2806052.0,2499.51,0.97614,0.65123,0.94438,0.63968,64.526,3475796.0,2771.545,0.86705,0.44596,0.85698,0.4268,162.178,5469256.0,6220.744,0.97955,0.99547,0.93757,0.93658,161.971,4944232.0,5772.791,0.99205,0.968,0.96141,0.90097
640.0,2,84.437,3837708.0,3224.834,1.0,0.66174,0.96595,0.6467,68.694,4265568.0,3118.365,0.93409,0.49083,0.91941,0.4691,163.289,5850676.0,6628.975,1.0,1.0,0.96141,0.93866,171.220,5230252.0,6140.315,0.99886,0.98246,0.96595,0.90461
1.0,3,36.227,68728.0,184.81,0.0125,0.0,0.00908,0.0,36.404,69452.0,148.921,0.0125,0.0,0.00908,0.0,36.222,65692.0,161.472,0.0125,0.0,0.00908,0.0,36.274,67392.0,168.958,0.0125,0.0,0.00908,0.0
20.0,3,38.085,160244.0,259.905,0.52159,0.23005,0.52667,0.22291,48.945,249804.0,372.359,0.59773,0.08718,0.59364,0.08252,56.686,358540.0,644.899,0.58295,0.7166,0.58683,0.68961,87.450,443624.0,958.07,0.60568,0.36409,0.59251,0.34458
40.0,3,38.573,231832.0,361.531,0.64545,0.37588,0.64926,0.36023,51.732,367172.0,511.885,0.66023,0.16703,0.67423,0.15807,74.141,635404.0,1000.46,0.59886,0.81792,0.60386,0.80286,106.138,1082692.0,1995.336,0.6125,0.63833,0.6084,0.61015
80.0,3,47.733,414812.0,511.767,0.76818,0.52661,0.78207,0.51328,58.167,652872.0,720.997,0.71136,0.2796,0.71396,0.26199,108.806,1364296.0,1863.991,0.79659,0.91191,0.79342,0.89354,130.303,1961336.0,3234.291,0.69432,0.78199,0.69694,0.74982
120.0,3,67.478,718576.0,865.778,0.87045,0.58453,0.87401,0.56625,59.803,945548.0,969.434,0.79773,0.35172,0.79796,0.3269,123.257,2112148.0,3255.244,0.86818,0.94319,0.8706,0.91382,138.979,2560792.0,3964.45,0.8,0.8369,0.79796,0.79536
160.0,3,69.532,943960.0,1021.033,0.9125,0.60423,0.90579,0.58236,62.898,1260588.0,1102.715,0.80795,0.37489,0.80477,0.34764,132.275,2640832.0,3742.893,0.93182,0.96021,0.90919,0.9255,136.967,2964932.0,4116.852,0.82614,0.87146,0.82066,0.82132
240.0,3,73.528,1377416.0,1314.205,0.94091,0.62635,0.91941,0.60245,63.629,1939148.0,1583.619,0.82841,0.40356,0.82747,0.37458,142.505,3667432.0,4898.809,0.96477,0.97735,0.9319,0.9347,143.734,3534592.0,4683.094,0.84432,0.91066,0.83087,0.84709
320.0,3,75.984,2013376.0,1861.702,0.95455,0.64199,0.92963,0.61315,64.572,2380640.0,1816.557,0.83295,0.41842,0.83201,0.38868,150.351,4340796.0,5595.942,0.98068,0.98671,0.95233,0.93868,140.302,3972220.0,4871.651,0.91364,0.9411,0.90238,0.87286
480.0,3,82.464,3043336.0,2513.978,0.97727,0.66294,0.95006,0.63396,70.731,3315612.0,2480.184,0.8625,0.455,0.85017,0.41842,146.629,5300352.0,6123.479,0.99205,0.99719,0.96027,0.94129,149.585,4472868.0,5396.237,0.98977,0.9765,0.96595,0.89523
640.0,3,83.146,3953476.0,3205.929,0.97841,0.67367,0.95119,0.63709,70.293,4060852.0,2879.092,0.92614,0.49519,0.91827,0.4543,153.425,5544272.0,6384.979,1.0,1.0,0.96822,0.94253,146.863,4599448.0,5365.253,0.99886,0.98187,0.96822,0.89719
